wn_synset,bn:id,pos,lemmata EN,definition,lemmata ES,is it related to music?,note
,bn:02496101n,,music_history_of_the_united_states_in_the_1960s,,historia_musical_de_los_estados_unidos_en_los_1960s,YES,eliminata la definition
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,bn:00284803n,,"west_end_theatre, west_end_musical, theatre_in_london, west_end, theatreland, west_end_theatres, london_stage, west_end_production, london_theatre, west_end_theater, west_end_play, west_end_revival, west_end_stage",West End theatre is mainstream professional theatre staged in the large theatres in and near the West End of London.,"teatros_del_west_end, teatro_del_west_end, teatro_de_west_end, teatros_de_west_end, theatreland, teatros",YES,
,,,,,,,
,,,,,,,
,bn:08518321n,,,"El tabal o tabalet és un instrument musical de percussió de forma cilíndrica, amb dues membranes –normalment de cuir–, que emet un so indeterminat.",tabal,YES,
,bn:00339257n,,synthpunk,"Synthpunk je hudební žánr, který kombinuje prvky elektronické hudby a punk rocku.","synthpunk, electropunk, punk_synth",YES,
,,,,,,,
,bn:00799530n,,sustain,Sustain označuje dobu trvání ustáleného zvuku hudebního nástroje.,sustain,YES,
,,,,,,,
,bn:08446743n,,,single,stole,YES,
,bn:03053689n,,staccatissimo,大斷奏（義大利語：Staccatissimo），又稱特斷音，意指把一音符彈得非常短促，程度高於斷音。,staccatissimo,YES,
,bn:00073362n,,"spike_mike, spike_microphone",A contact microphone for listening through walls,spike_mike,YES,
,,,,,,,
,,,,,,,
,bn:00485785n,,d_tuning,Optional.empty,sintonía_d,YES,
,bn:02119389n,,,Optional.empty,sintetizador_moog,YES,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,bn:01900635n,,Rapcore,Optional.empty,rapcore,YES,
,,,,,,,
,,,,,,,
,bn:02420996n,,sweet_spot,"The sweet spot is a term used by audiophiles and recording engineers to describe the focal point between two speakers, where an individual is fully capable of hearing the stereo audio mix the way it was intended to be heard by the mixer.",punto_dulce,YES,
,bn:08590655n,,,Drinking song,punschen_kommer,YES,
,,,,,,,
,bn:01490155n,,,Optional.empty,programador_sintetizador,YES,
,bn:03199792n,,prima_pratica,"Le terme Prima pratica utilisé dans les débuts de la musique baroque, fait référence particulièrement au style de Palestrina, ou au style codifié par Gioseffo Zarlino.",prima_pratica,YES,
,,,,,,,
,bn:02965712n,,post-romanticism,Mouvement artistique,"postromanticismo, posromanticismo, postromanticismno, post-romanticismo",YES,
,bn:01722040n,,Pop-Folk,Optional.empty,pop-folk,YES,
,bn:00962668n,,piano_blues,"Пиано блус означава различните блус стилове, които използват като основен инструмент пианото.",piano_blues,YES,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,bn:00963476n,,new_york_blues,New York blues is een subgenre van bluesmuziek.,"new_york_blues, blues_de_nueva_york",YES,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,bn:01072408n,,post-industrial_music,Music genre,"música_post-industrial, musica_post-industrial, musica_posindustrial, post-industrial",YES,
,bn:02721280n,,,Optional.empty,música_espacial,YES,
,bn:01756037n,,"history_of_music_in_the_biblical_period, music_of_the_canaanites, biblical_music, history_of_music_of_the_bible, music_as_a_divine_art, music_in_the_bible, music_of_the_bible, bible_music",Knowledge of the biblical period is mostly from literary references in the Bible and post-biblical sources.,"música_en_la_biblia, musica_en_la_biblia",YES,
,,,,,,,
,bn:01963411n,,montuno,Montuno has several meanings pertaining to Cuban music and its derivatives.,montuno,YES,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,bn:08677135n,,,Drinking song,mera_brännvin,YES,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,bn:00257079n,,,"La livetronica, ou jamtronica, est un genre musical mêlant des éléments de jam band à ceux de l'electronica,.",livetronica,YES,
,,,,,,,
,bn:03229151n,,"punk_literature, punklit, punk_poet, punk_lit, punk_poetry, punk_fiction, ranting_poet",Punk literature is literature related to the punk subculture.,"literatura_punk, poeta_del_punk",YES,
,,,,,,,
,bn:03245008n,,"straight-ahead_jazz, straightahead_jazz",Straight-ahead jazz refers to jazz music that eschews the rock music influences that began to appear in jazz during the late 1960s.,línea_recta_jazz,YES,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,bn:00049555n,,"labanotation, kinetography_laban, laban_notation",A system of notation for dance movements that uses symbols to represent points on a dancer's body and the direction of the dancer's movement and the tempo and the dynamics,"labanotation, labalotation",YES,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,bn:02379671n,,"kokle, kokles, concert_kokles, zither_kokles",Kokle ,kokle,YES,
,,,,,,,
,,,,,,,
,bn:03271664n,,kinderwhore,Kinderwhore was a clothing style used by a handful of mostly female grunge bands in the US during the early to mid-1990s.,kinderwhore,YES,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,bn:00943438n,,baltimore_jazz,Optional.empty,jazz_baltimore,YES,
,,,,,,,
,,,,,,,
,,,,,,,
,bn:00328024n,,,Italo dance és el nom d'un gènere musical derivat de l'eurodance que s'anomena així per la procedència italiana de molts dels seus productors més famosos.,"italo_dance, mediterranean_progressive, italodance",YES,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,bn:03326423n,,"italian_hip_hop, italian_rap, italian_hip_hop_movement",Italian hip hop started in the 1980s.,"hip_hop_italiano, rap_italiano",YES,
,,,,,,,
,,,,,,,
,bn:08581477n,,,Drinking song,halvan,YES,
,bn:15014430n,,,Optional.empty,guitarra_española,YES,
,bn:02422749n,,"grands_motets, grand_motet","The grand motet was a genre of motet cultivated at the height of the French baroque, although the term dates from later French usage.","gran_motete, motetes_grands",YES,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,bn:03211527n,,,Optional.empty,estratosférico,YES,
,bn:00908751n,,"bristol_underground_scene, bristol_sound, bristol_urban_culture","The Bristol underground scene, refers to a cultural movement in Bristol beginning in the early 1980s.","escena_subterránea_de_bristol, escena_subterranea_de_bristol",YES,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,bn:16260654n,,,"Los Ejes musicales de Colombia son el conjunto de regiones culturales cuyas músicas folclóricas comparten géneros, estilos musicales y formatos de instrumentación.","ejes_musicales_de_colombia, musica_folclorica_de_colombia, música_folclorica_de_colombia, música_folclórica_de_colombia, musica_folclórica_de_colombia",YES,
,,,,,,,
,,,,,,,
,bn:09001210n,,dutch_house,Sottogenere di musica house,dutch_house,YES,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,bn:00852160n,,,Optional.empty,cumbia_sonidera,YES,
,bn:00024018n,,"crosstalk, xt",The presence of an unwanted signal via an accidental coupling,"crosstalk, diafonía, xt",YES,
,bn:01568005n,,country_folk,Countryfolk is een muziekfusion die voortkomt uit een combinatie van countrymuziek en folk.,"country_folk, gente_del_campo",YES,
,bn:03147694n,,,Seznam názvů operet podle abecedy.,corpus_ópera,YES,
,bn:08901011n,,,"Nella struttura di un'opera lirica, oltre alla presenza dei personaggi principali e secondari, è prevista quella del coro.",coro,YES,
,bn:00260139n,,countersubject,Le contre-sujet est un terme utilisé dans le domaine de la fugue en musique classique.,contrasujeto,YES,
,,,,,,,
,,,,,,,
,,,,,,,
,bn:02474018n,,,الهيب هوب الكوميدي أو راب الكوميديا هو نوع فرعي من موسيقى الهيب هوب يتضمن عادة كلمات ساخرة.,"comedy_hip_hop, rap_comico, comedy_rap, hip_hop_comico, hip_hop_cómico, rap_cómico",YES,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,bn:03091003n,,punk_house,A punk house is a dwelling occupied by members of the punk subculture.,casa_punk,YES,
,bn:02836857n,,background_singer,Optional.empty,cantante_de_fondo_sin_acreditar,YES,
,bn:02036151n,,,世界盃主題曲是世界盃足球賽的主題曲，下表即羅列歷屆世界盃足球賽主題曲。,"cancion_oficial_de_la_copa_mundial_de_la_fifa, música_oficial_de_la_copa_mundial_de_fútbol, canción_oficial_de_la_copa_mundial_de_la_fifa",YES,
,bn:00009757n,,"bell_ringer, toller, ringer, bell-ringer",A person who rings church bells (as for summoning the congregation),"campanero, campanera",YES,
,,,,,,,
,,,,,,,
,bn:00403381n,,juke_joint_blues,Optional.empty,blues_juke_conjunta,YES,
,bn:00690142n,,"progressive_bluegrass, newgrass","Il progressive bluegrass è uno dei sottogeneri più importanti del bluegrass, sviluppatosi negli Stati Uniti a cavallo fra gli anni sessanta e settanta del XX secolo.","bluegrass_progresivo, newgrass",YES,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,bn:02261304n,,,Optional.empty,audiation,YES,
,,,,,,,
,,,,,,,
,bn:03568243n,,,Optional.empty,apuntador,YES,
,,,,,,,
,,,,,,,
,bn:01643007n,,ancient_celtic_music,"Deductions about the music of the ancient Celts of the La Tène period rely primarily on Greek and Roman sources, as well as on archaeological finds and interpretations including the reconstruction of the Celts' ancient instruments.","antigua_música_celta, antigua_musica_celta",YES,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,bn:01209096n,,zulu_music,The Zulu people are a South African ethnic group.,música_zulú,YES,
,bn:00349630n,,transition_from_renaissance_to_baroque_in_instrumental_music,"In the years centering on 1600 in Europe, several distinct shifts emerged in ways of thinking about the purposes, writing and performance of music.",transición_del_renacimiento_al_barroco_en_la_música_instrumental,YES,
,bn:03290413n,,tour_accountant,A Tour Accountant is responsible for the financial operations of a large scale concert tour.,contable_de_gira,YES,
,bn:01549708n,,tamil_folk_culture,Tamil folk culture refers to folk arts and crafts of the Tamil people.,cultura_folk_tamil,YES,
,bn:00791135n,,"sioux_music, dakota_music, nakota_music, lakota_music","The Sioux are a large group of Native Americans generally divided into three subgroups: Lakota, Dakota and Nakota.","música_sioux, música_dakota, música_nakota, música_lakota",YES,
,bn:02621385n,,"shawty, shorty","Shawty, shorty, or shortie is an American slang used as a term of endearment for an attractive woman or a girlfriend, that was particularly popular in hip hop from the 2000s.","cariño, pequeña ",YES,
,bn:14720872n,,serbian_traditional_music,Негде дубоко у вековима на извору српског народа потекла је и песма.,música_serbia_tradicional,YES,
,bn:15368638n,,"scottish_baroque_music, classical_music_in_scotland, scottish_baroque","Classical music in Scotland is all art music in the Western European classical tradition, between its introduction in the eighteenth century until the present day.","música_barroca_escosés, música_clásica_en_escocia, barroco_escosés",YES,
,bn:17347571n,,"rock_music_of_west_bengal, west_bengal_rock_music","Rock music of West Bengal originated in Kolkata, West Bengal, India.","música_rock_del_bengala_occidental, música_rock_del_bengala_occidental",YES,
,bn:00682224n,,"rock_music_in_switzerland, swiss_rock","Rock and roll first entered Switzerland in the 1950s, as a series of American musicians popularized the style internationally.","música_rock_en_suiza, rock_suizo",YES,
,bn:00487163n,,"rock_music_in_portugal, portuguese_rock, portugeues_rock, portugues_rock",Rock music and its subgenres are very popular in Portugal.,"música_rock_en_portugal, rock_portugués",YES,
,bn:00962191n,,"rock_music_in_lithuania, lithuanian_rock",Rock music has been performed and heard in Lithuania since the mid-1960s.,"música_rock_en_lituania, rock_lituano",YES,
,bn:00682103n,,"rock_music_in_bosnia_and_herzegovina, bosnian_rock",The rock music of Bosnia and Herzegovina mostly developed during the time when Bosnia was part of socialist Yugoslavia.,"música_rock_en_bosnia_y_herzegovina, rock_bosnio",YES,
,bn:00634282n,,religious_music_in_iran,Religious music in Iran is rich in melodies and genres.,música_religiosa_en_irán,YES,
,bn:00168766n,,"religious_jewish_music, judaic_music, jewish_liturgical_music",This article describes the principal types of religious Jewish music from the days of the Temple to modern times.,"música_judía_religiosa, música_judaica, música_litúrgica_judía",YES,
,bn:02466009n,,"regional_styles_of_mexican_music, spanish_oldies, spanish_contemporary, mexican_regional_music, regional_mexican_music, son_jalicense, regional_variations_of_mexican_music",Regional styles of Mexican music vary greatly vary from state to state.,"estilo_regional_de_música_mexicana, viejo_éxito_español, contemporáneo_español, música_regional_mexicana, son_jalicense, variaciones_regionales_de_música_mexicana",YES,
,bn:03226006n,,"punk_visual_art, punk_art, punk_rock_art",Punk visual art is artwork associated with the punk subculture.,"arte_visual_punk, arte_rock_punk",YES,
,bn:00745238n,,"pueblo_music, hopi_music, zuni_music","Pueblo music includes the music of the Hopi, Zuni, Taos Pueblo, San Ildefonso, Santo Domingo, and many other Puebloan peoples, and according to Bruno Nettl features one of the most complex Native American musical styles on the continent.","música_del_pueblo, música_hopi, música_zuni",YES,
,,,,,,,
,bn:15377177n,,popular_music_of_birmingham,Birmingham's culture of popular music first developed in the mid-1950s.,música_popular_de_birmingham,YES,
,,,,,,,
,bn:01130189n,,pipe_banner,A pipe banner is a decorative flag for the Scottish Highland bagpipes.,bandera_de_la_gaita,YES,
,bn:01393753n,,"phleng_phuea_chiwit, songs_for_life, pleng_phua_cheewit, song_for_life, phleng_pheua_chiwit",Phleng phuea chiwit,"phleng_phuea_chiwit, canciones_para_la_vida, pleng_phua_cheewit, canción_para_la_vida, phleng_pheua_chiwit",YES,
,bn:03315820n,,"philippine_folk_music, filipino_folk_music, traditional_filipino_music, pinoy_folk, filipino_folk, traditional_philippine_music, filipino_traditional_music, traditional_music_of_the_philippines","The traditional music of the Philippines, like the folk music of other countries, reflects the life of common, mostly rural Filipinos.","música_folk_filipina, música_folk_tradicional, folk_pinoy, folk_filipino, música_filipina_tradicional, música_tradicional_de_filipinas",YES,
