wn_synset,bn:id,pos,lemmata EN,definition,lemmata IT,is it related to music?,note,removed EN,Removed IT,Multiword Expression,annotator traduction
,bn:00000132n,n,"seventy-eight, 78, 78_rpm",A shellac based phonograph record that played at 78 revolutions per minute,"78, settantotto",YES,,,,,
,bn:00000627n,n,accelerando,A gradually increasing tempo of music,accelerando,YES,"Ho eliminato vari termini da lemmata EN. Credo che la confusione derivi dal fatto che questo codice su bablenet si rifà sia all'accelerando di ambito musicale, sia a un romanzo intitolato appunto 'accelerando'","halo, nightfall, accelenrando, lobsters, survivor",,,
,bn:00000968n,n,"auditory_hallucination, acousma, paracusia, auditory_hallucinations, audio_hallucination, auditory_verbal_hallucinations, voice_hearing",Illusory auditory perception of strange nonverbal sounds,"allucinazione_uditiva, allucinazioni_uditive, paracusia, acusma",CHECK,"Ho sostituito 'acousma' con 'acusma'. Non ho trovato nessun utilizzo di acousma online, e anche acusma in realtà l'ho trovato unicamente nel dizionario dell'internazionale. Ho anche aggiunto 'sentire_le_voci' in lemmata IT",,acousma,sentire_le_voci,
,bn:00000972n,n,"acoustic_delay_line, sonic_delay_line",A delay line based on the time of propagation of sound waves,"linea_di_ritardo_acustica, sonic_linea_di_ritardo",CHECK,,,,,
,bn:00000973n,n,acoustic_device,A device for amplifying or transmitting sound,dispositivo_acustico,YES,,,,,
,bn:00000976n,n,"acoustic_impedance, acoustic_reactance, acoustic_resistance, characteristic_acoustic_impedance, characteristic_impedance_of_a_medium_for_longitudinal_waves, characteristic_impedance_of_a_medium, acoustical_impedance, characteristic_specific_acoustic_impedance, radiation_impedence, impedance_curve, sound_impedance, volume_velocity, specific_acoustic_impedance",Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,"impedenza_acustica, resistenza_acustica, reattanza_acustica",CHECK,,,,,
,bn:00000977n,n,"ear_canal, external_auditory_canal, auditory_canal, acoustic_meatus, external_auditory_meatus, auditory_meatus, external_acoustic_meatus, meatus_acusticus_externus, ear_canals, external_ear_canal, external_acoustic_meatis, external_ear_canals, external_acoustic_canal",Either of the passages in the outer ear from the auricle to the tympanic membrane,"condotto_uditivo_esterno, canale_uditivo_esterno, meato_acustico_esterno, canale_uditivo, meato_uditivo_esterno, meato_auricolare_esterno, condotto_uditivo, meato_acustico",CHECK,,,,,
,bn:00000980n,n,acoustic_phenomenon,A physical phenomenon associated with the production or transmission of sound,fenomeno_acustico,YES,,,,,
,bn:00000981n,n,"sound_pressure_level, acoustic_power, acoustic_level",The physical intensity of sound,"livello_acustico, potenza_acustica, livello_di_pressione_sonora",YES,,,,,
,bn:00000982n,n,"sound_projection, acoustic_projection, projection",The acoustic phenomenon that gives sound a penetrating quality,"proiezione_acustica, proiezione_del_suono",YES,,,,,
,bn:00000983n,n,acoustic_radiation_pressure,(acoustics) the pressure exerted on a surface normal to the direction of propagation of a sound wave,radiazioni_pressione_acustica,CHECK,,,,,
,bn:00000984n,n,"sound_spectrum, acoustic_spectrum",The distribution of energy as a function of frequency for a particular sound source,"serie_armonica, spettro_acustico, spettro_sonoro",CHECK,,,,,
,bn:00000986n,n,"sound_wave, acoustic_wave, sound_propagation, sound, pressure_wave",(acoustics) a wave that transmits sound,"onda_sonora, onda_acustica, onde_sonore, suono, propagazione_del_suono, suoni",YES,,,,,
,bn:00000987n,n,acoustician,A physicist who specializes in acoustics,di_acustica,YES,,,,,
,bn:00000988n,n,"phonophobia, acousticophobia, sonophobia, fear_of_sounds, phonophobe, aversion_to_sounds, ligyrophobia, fear_of_noise, hypersensitivity_to_sounds, fear_of_voices, fear_of_loud_sounds, phono_phobia, phonobia",A morbid fear of sounds including your own voice,"fonofobia, acusticofobia, acousticophobia, liguirofobia",CHECK,Ho aggiunto in lemmata IT 'liguirofobia' (fobia dei rumori forti),,,,
,bn:00000989n,n,"acoustics, acoustical_science, acoustic_sensor, acoustical_data, acoustical, history_of_acoustics, acoustic_measurements_and_instrumentation, subdisciplines_of_acoustics, acustica, mechanical_radiation",The study of the physical properties of sound,"acustica, fisica_acustica, ingegnere_acustico, dati_acustici",YES,,,,,
,bn:00001238n,n,adagio,A slow section of a pas de deux requiring great skill and strength by the dancers,adagio,YES,,,,,
,bn:00002139n,n,"hem, ahem","The utterance of a sound similar to clearing the throat; intended to get attention, express hesitancy, fill a pause, hide embarrassment, warn a friend, etc.","hum, ehm ",YES,"Ho aggiunto in lemmata IT 'hum, ehm' ",,ahem,,
,bn:00002201n,n,air_alert,The warning signal that begins a period of preparation for an enemy air attack,allarme_aereo ,YES,,,,,
,bn:00002234n,n,"air_horn, goal_horn, handy_horn, rape_horn, gas_horn, airhorn",A pneumatic horn,"trombetta, clacson, trombetta_antistupro ",YES,,,"tromba_d'aria, airhorn",,
,bn:00002414n,n,"alarm_bell, tocsin",The sound of an alarm (usually a bell),campanello_d'allarme,YES,,,,,
,bn:00002798n,n,all_clear,A signal (usually a siren) that danger is over,cessato_allarme,YES,,,,,
,bn:00002829n,n,allegro_con_spirito,Lively with spirit,allegro_con_spirito,CHECK,,,,,
,bn:00003148n,n,alto,(of a musical instrument) the second highest instrument in a family of musical instruments,contralto,YES,,,,,
,bn:00003149n,n,alto,The pitch range of the lowest female voice,contralto,YES,,,,,
,bn:00003327n,n,"plagal_cadence, amen_cadence",A cadence (frequently ending church music) in which the chord of the subdominant precedes the chord of the tonic,"cadenza_plagale, cadenza_amen",YES,,,,,
,bn:00004023n,n,anechoic_chamber,A chamber having very little reverberation,anecoica,CHECK,,,,,
,bn:00004083n,n,"angelus_bell, angelus",The sound of a bell rung in Roman Catholic churches to announce the time when the Angelus should be recited,"angelus, campana_dell'_angelus",YES,,,angelus_campana,,
,bn:00004715n,n,"antiphonary, antiphonal, antiphonaries, antiphoner, vesperale_romanum, antiphonel",Bound collection of antiphons,"antifonario, antifonale",CHECK,,,,,
,bn:00004827n,n,"apache_dance, apache, la_danse_apache, apache_turn, tough_dance, bowery_waltz",A violent fast dance in French vaudeville (an apache is a member of the French underworld),"apache, danse_apache, danza_apache, apache_danza",YES,,,,,
,bn:00004828n,n,apache_devil_dance,A ritual dance of the Apache,danza_del_diavolo_apache,YES,ho aggiunto danza_del_diavolo_apache,,apache_diavolo_danza,,
,bn:00005052n,n,"applauder, clapper, whip, slapstick",Someone who applauds,"frusta, applauder",CHECK,"Il problema con questo lemma è che il codice fa riferimento a case diverse. Applauder e clapper fanno rimento a qualcuno che applaude (come dice la definizione), whip a uno strumento musicale (in italiano: frusta). slapstick è un sinonimo di whip. ",,,,
,bn:00005256n,n,"arabesque, arabesque_penché, arabesque_penchée",Position in which the dancer has one leg raised behind and arms outstretched in a conventional pose,arabesque,YES,,,,,
,bn:00006186n,n,artiste,A public performer (a dancer or singer),artista,YES,,,,,
,bn:00006998n,n,"attack, tone-beginning",A decisive manner of beginning a musical tone or phrase,attacco,YES,,,tono-inizio,,
,bn:00007019n,n,"hearer, listener, auditor, attender",Someone who listens attentively,"uditore, ascoltatore, udiente, udente",CHECK,"Non so se rimuovere da lemmata IT anche udiente e udente: questi termini indicano qualcuno che semplicemente ci sente, non qualcuno che ascolta attentamente ",,"evento, gestione_degli_eventi, gestore_di_eventi",,
,bn:00007094n,n,"audibility, audibleness",Quality or fact or degree of being audible or perceptible by the ear,udibilità,CHECK,,,audibleness ,,
,bn:00007102n,n,"audio_frequency, audio, audible_frequency, sound_frequency, audio-frequency, af, audio_frequencies",An audible acoustic wave frequency,"frequenza_audio, audiofrequenza, frequenze_audio",YES,,,,,
,bn:00007104n,n,audio,The sound elements of television,audio ,CHECK,,,,,
,bn:00007105n,n,"audio_amplifier, amplifier",An amplifier that increases the amplitude of reproduced sound,"amplificatore_audio, amplificatore, amplificatore_di_potenza",YES,,,,,
,bn:00007106n,n,"audio_cd, audio_compact_disc",Compact discs used to reproduce sound (voice and music),"cd_audio, audio_compact_disc",YES,,,,,
,bn:00007109n,n,audiocassette,A cassette for audiotape,"audiocassetta, audiocassette",YES,,,,,
,bn:00007120n,n,"hearing, auditory_sense, sense_of_hearing, audition, auditory_modality, human_hearing, auditive_perception, hear, hearing_protection, art_of_listenning, aural, auditory_perception, audioception, ear_protection_device, ear_protective_devices, ear_protective_device, underwater_hearing",The ability to hear; the auditory faculty,"udito, protezione_dell'udito, sonora, uditivo_modalità, udito_umano, senso_dell'udito, uditivo_senso",YES,,,,,
,bn:00007124n,n,"auditorium, auditoriums, auditoria, auditorium_site, imperial_box, screens, continental_seating",The area of a theater or concert hall where the audience sits,"auditorium, sala, auditorio, sala_da_concerto, platea, aule_magne, sala_concerti, sala_teatrale, palco_reale",YES,,,,,
,bn:00007126n,n,auditory_apparatus,All of the components of the organ of hearing including the outer and middle and inner ears,apparato_uditivo,YES,ho aggiunto apparato_uditivo,,uditivo_apparecchi,,
,bn:00007127n,n,"auditory_cortex, primary_auditory_cortex, auditory_area, a1, secondary_auditory_cortex, posterior_transverse_temporal_area_42, anterior_transverse_temporal_area_41, auditory_processing",The cortical area that receives auditory information from the medial geniculate body,"corteccia_uditiva, corteccia_uditiva_primaria, uditivo_zona",YES,,,,,
,bn:00007128n,n,auditory_center,The part of the brain (in a fold of the cerebral cortex of the temporal lobe on both sides of the brain) that receives impulses from the ear by way of the auditory nerve,centro_uditivo,YES,,,uditivo_centro,,
