wn_synset,bn:id,pos,lemmata EN,definition,lemmata NL,is it related to music?,note,removed EN,removed NL
,bn:01132858n,,"zortziko, zortzico, zorzico",The zortziko is a dance rhythm that originates in the Basque Country.,zortziko,YES,,,
,bn:01132858n,,"zortziko, zortzico, zorzico",The zortziko is a dance rhythm that originates in the Basque Country.,zortzico,YES,,,
,bn:01132858n,,"zortziko, zortzico, zorzico",The zortziko is a dance rhythm that originates in the Basque Country.,zorzico,YES,,,
,bn:00821669n,,"zoroastrian_music, zarathustran_music",Zoroastrian music is a genre of religious music that accompanies religious and traditional rites among the Zoroastrian people.,zoroastrische_muziek,YES,,,
,bn:00821669n,,"zoroastrian_music, zarathustran_music",Zoroastrian music is a genre of religious music that accompanies religious and traditional rites among the Zoroastrian people.,zarathoestrische_muziek,YES,,,
,bn:00082062n,,zizz,A buzzing or whizzing sound,zizz,YES,,,
,bn:00082050n,,"zing, irony_mark",A brief high-pitched buzzing or humming sound,zing,YES,,,
,bn:03651284n,,zindalii,Zindalii is an Algerian musical genre.,zindalii,YES,,,
,bn:14640702n,,zimdancehall,Zimdancehall is a subgenre of reggae/dancehall music from Zimbabwe.,zimdancehall,YES,,,
,bn:03100224n,,"yunluo, yuen-lo, yun-lo, yuen_lo, yün-lo, yün_lo, shimianluo, yun_lo","The yunluo, is a traditional Chinese musical instrument.",yunluo,YES,,,
,bn:03100224n,,"yunluo, yuen-lo, yun-lo, yuen_lo, yün-lo, yün_lo, shimianluo, yun_lo","The yunluo, is a traditional Chinese musical instrument.",yuen-lo,YES,,,
,bn:03100224n,,"yunluo, yuen-lo, yun-lo, yuen_lo, yün-lo, yün_lo, shimianluo, yun_lo","The yunluo, is a traditional Chinese musical instrument.",yun-lo,YES,,,
,bn:03100224n,,"yunluo, yuen-lo, yun-lo, yuen_lo, yün-lo, yün_lo, shimianluo, yun_lo","The yunluo, is a traditional Chinese musical instrument.",yuen_lo,YES,,,
,bn:03100224n,,"yunluo, yuen-lo, yun-lo, yuen_lo, yün-lo, yün_lo, shimianluo, yun_lo","The yunluo, is a traditional Chinese musical instrument.",yün-lo,YES,,,
,bn:03100224n,,"yunluo, yuen-lo, yun-lo, yuen_lo, yün-lo, yün_lo, shimianluo, yun_lo","The yunluo, is a traditional Chinese musical instrument.",yün_lo,YES,,,
,bn:03100224n,,"yunluo, yuen-lo, yun-lo, yuen_lo, yün-lo, yün_lo, shimianluo, yun_lo","The yunluo, is a traditional Chinese musical instrument.",shimianluo,YES,,,
,bn:03100224n,,"yunluo, yuen-lo, yun-lo, yuen_lo, yün-lo, yün_lo, shimianluo, yun_lo","The yunluo, is a traditional Chinese musical instrument.",yun_lo,YES,,,
,bn:00753886n,,yuman_music,"Yuman music is the music of Yumans, a group of Native American tribes from what is now Southern California and Baja California.",yuman_muziek,YES,,,
,bn:00167724n,,"yugoslav_punk_scene, punk_rock_in_yugoslavia, yugoslav_punk, punk_in_yugoslavia, yugoslav_punk_rock, yugoslavia_punk, jugoslovenski_punk, punk_yugoslavia, yu_punk, punk_scene_in_yugoslavia",Punk rock in Yugoslavia was the punk subculture of the former Socialist Federal Republic of Yugoslavia.,Joegoslavische_punkrock,YES,,,
,bn:03044573n,,yiddish_song,"Yiddish song is a general description of several genres of music sung in Yiddish which includes songs of Yiddish theatre, Klezmer songs, and ""Yiddish art song"" after the model of the German Lied and French mélodie.",jiddisch_lied,YES,,,
,bn:03772317n,,yass,"Yass is a Polish music style of avant-garde jazz which originated in the late 1980s, that mixes jazz, improvised music, punk rock, and folk.",yass,YES,,,
,bn:01857742n,,yamudi,"Yamudi, is the native guan used in Taiwanese traditional music.",yamudi,YES,,,
,bn:01195200n,,xhosa_music,"Xhosa music has long been a major part of the music of South Africa, especially in the field of jazz.",xhosa_muziek,YES,,,
,bn:00926522n,,"wot, vot",The Wot is a circular panpipe used in the traditional music of Laos and the Isan region of northeastern Thailand.,wot,YES,,,
